DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
06/06/2019,22469056294,Bought 1000 MJNA @ 0.0602,1000,MJNA,0.0602,0.00,-60.20,---,,,,
06/06/2019,22469577735,Bought 10 LJPC @ 10.132,10,LJPC,10.132,0.00,-101.32,---,,,,
08/05/2019,22983659534,Bought 1000 MJNA @ 0.0444,1000,MJNA,0.0444,0.00,-44.45,---,,,,
08/05/2019,22983685872,Bought 10 LJPC @ 8.09,10,LJPC,8.09,0.00,-80.90,---,,,,
08/05/2019,22983806834,Bought 25 TLRY @ 7.1,25,TLRY,7.10,6.95,-184.45,---,,,,
08/13/2019,23048914790,Bought 1000 MJNA @ 0.0529,1000,MJNA,0.0529,6.95,-59.90,---,,,,
08/16/2019,23081560576,Bought 1000 MJNA @ 0.051,1000,MJNA,0.051,6.95,-57.95,---,,,,
08/16/2019,23081589451,Bought 20 TLRY @ 6.06,20,TLRY,6.06,6.95,-128.15,---,,,,
09/03/2019,23204217218,Bought 1000 MJNA @ 0.0416,1000,MJNA,0.0416,6.95,-48.55,---,,,,
09/03/2019,23204362576,Bought 5 TLRY @ 6.31,5,TLRY,6.31,6.95,-38.50,---,,,,
09/03/2019,23204385790,Bought 5 LJPC @ 9.5145,5,LJPC,9.5145,6.95,-54.52,---,,,,
09/12/2019,23289635467,Bought 2500 MJNA @ 0.0406,2500,MJNA,0.0406,6.95,-108.45,---,,,,
09/17/2019,23326002805,Bought 25 LJPC @ 10.9519,25,LJPC,10.9519,6.95,-280.75,---,,,,
09/18/2019,23333819305,Bought 2500 MJNA @ 0.0386,2500,MJNA,0.0386,6.95,-103.45,---,,,,
09/19/2019,23344510788,Bought 10 ERIC @ 8.2886,10,ERIC,8.2886,6.95,-89.84,---,,,,
10/03/2019,23505115173,Bought 10 ERIC @ 7.72,10,ERIC,7.72,0.00,-77.20,---,,,,
10/03/2019,23506008309,Bought 5 ERIC @ 7.7899,5,ERIC,7.7899,0.00,-38.95,---,,,,
10/04/2019,23518394372,Bought 5000 MJNA @ 0.0288,5000,MJNA,0.0288,6.95,-150.95,---,,,,
10/15/2019,23590492534,Bought 10000 MJNA @ 0.0257,10000,MJNA,0.0257,6.95,-264.45,---,,,,
10/21/2019,23628579275,Bought 25 ERIC @ 9.16,25,ERIC,9.16,0.00,-229.00,---,,,,
10/31/2019,23710006021,Bought 10000 MJNA @ 0.024,10000,MJNA,0.024,6.95,-246.95,---,,,,
11/06/2019,23782961769,Bought 15000 MJNA @ 0.023,15000,MJNA,0.023,6.95,-351.95,---,,,,
11/08/2019,23812048185,ADR FEE (ERIC),,ERIC,,,-0.50,---,,,,
***END OF FILE***
